ar,flokkur,framlog_rikis,framlog_althingi,framlog_svf,framlog_fyrirtaekja,framlog_einstaklinga,tekjur_sala_eigna,adrar_tekjur,leigutekjur,auglysingar_og_thjonusta,tekjur,gjold,afkoma,eignir,fasteignir,veltufjarmunir,skuldir,skammtimaskuldir,veltufe_fra_rekstri,handbaert_fe,cpi,merki,litur,atkvaedi,hlutf,thingmenn
2016,Framsóknarflokkur,77079041,12802214,5346178,13760000,11285229,0,20171602,10127709,7749914,140444264,108640265,25980648,199946578,0,75243047,219340093,0,0,0,0.6966400526353226,xB,#41ab5d,21792,0.11490761832447481,8
2015,Framsóknarflokkur,86893855,0,5695853,10840000,9191369,0,13531575,8004595,4661284,126152652,91034389,19287389,179806167,0,54604776,225180330,0,0,0,0.6850104915001066,xB,#41ab5d,NA,NA,NA
2014,Framsóknarflokkur,81346274,0,5750978,18038000,10563279,0,14373904,7134638,5059193,130072435,108045755,7331917,197961323,0,62057940,257203934,0,0,0,0.6739944163880789,xB,#41ab5d,NA,NA,NA
2013,Framsóknarflokkur,55040326,0,2681473,20135770,8027392,0,24831225,7771325,14193620,110716186,135189625,-19122777,172180214,0,40887955,243093536,0,0,0,0.6604843872252649,xB,#41ab5d,46176,0.2442877321807399,19
2012,Framsóknarflokkur,53693472,0,2577146,7425000,9354279,0,15502082,10797356,4704726,88551979,66305719,9428447,174655121,0,46517478,231578394,0,0,0,0.6358782630343552,xB,#41ab5d,NA,NA,NA
2011,Framsóknarflokkur,56009821,0,2578090,9407181,8696402,0,10127699,0,0,86819193,57660672,4468768,148371181,0,31759173,222397666,0,0,0,0.6045237925883775,xB,#41ab5d,NA,NA,NA
2010,Framsóknarflokkur,61031530,0,5722358,7494439,12219859,0,11217841,0,0,97686027,81784601,-1591740,129581014,0,23650488,214985302,0,0,0,0.5812379970125898,xB,#41ab5d,NA,NA,NA
2009,Framsóknarflokkur,53453879,0,5710673,12900000,14377451,0,18579475,0,0,105021478,123978125,-40807392,134393762,0,27568509,252649789,0,0,0,0.5515239348460061,xB,#41ab5d,27699,0.14797818177932826,9
2008,Framsóknarflokkur,53451512,0,4989161,540894,10612608,0,6472387,0,0,76066562,50012348,-57770071,116319414,0,20848468,181508937,0,0,0,0.4924025535244328,xB,#41ab5d,NA,NA,NA
2007,Framsóknarflokkur,79103764,0,2702500,28586638,12604394,0,13308260,0,0,136305556,178200479,-60342226,149716595,0,53676722,154111822,0,0,0,0.43700209830002135,xB,#41ab5d,21350,0.11719886479038695,7
2022,Samfylkingin,75063812,12820188,11962765,6511777,17846658,7221569,19658922,10380219,878574,151085671,190142059,-51846763,291880276,246354757,39793139,193200539,45643502,-51559212,32718383,0.8724304715840386,xS,#e41a1c,NA,NA,NA
2021,Samfylkingin,93826315,15101864,10470237,3210000,14166029,0,20420612,5860642,330000,157195057,213649014,-57957829,191009235,123036895,62080390,40160082,15794085,-61517083,53926715,0.8054804751404794,xS,#e41a1c,19825,0.09925899964952686,6
2020,Samfylkingin,89326315,13897608,10924975,1012500,12828876,0,24422751,0,0,152413025,110237436,39452460,245661661,119552721,120082946,42196959,16534941,28564802,113579409,0.7712052777580197,xS,#e41a1c,NA,NA,NA
2019,Samfylkingin,91258861,14241773,10316432,1500000,12925141,0,17924613,0,0,148166820,73510043,71489399,240955942,130958801,104247851,76309347,14346900,66544599,95945429,0.749879970125898,xS,#e41a1c,NA,NA,NA
2018,Samfylkingin,79258862,9528916,12041187,3485000,23633751,0,20738535,7813252,6765283,148686251,126437735,17033319,194410593,0,63577028,101382751,0,0,0,0.7279145031652322,xS,#e41a1c,NA,NA,NA
2017,Samfylkingin,23065939,0,11462825,6736000,36943387,0,11356372,7516958,720000,89564523,54995464,26711554,190990154,0,40069519,114355839,0,0,0,0.7089097730990824,xS,#e41a1c,23654,0.12052440907168588,7
2016,Samfylkingin,38976809,9175409,11344734,7425000,12983884,0,19872187,7306572,0,99778023,127860789,-33873816,167712091,0,19161384,129452786,0,0,0,0.6966400526353226,xS,#e41a1c,10894,0.057443263308866954,3
2015,Samfylkingin,48152217,0,12539487,4927500,16135993,0,13715602,6144199,0,95470799,68699162,21428107,172838595,0,26232280,106686395,0,0,0,0.6850104915001066,xS,#e41a1c,NA,NA,NA
2014,Samfylkingin,46654891,0,4721914,8443590,27400459,0,12347969,6414947,0,99568823,109677015,2634833,166095217,0,18769810,121374622,0,0,0,0.6739944163880789,xS,#e41a1c,NA,NA,NA
2013,Samfylkingin,99924882,0,10910225,5493500,16248374,0,8761150,4196357,2732793,141338131,191416492,-55273040,154912567,0,29506595,128323923,0,0,0,0.6604843872252649,xS,#e41a1c,24296,0.12853462277077393,9
2012,Samfylkingin,104067146,0,10798818,2225000,19665671,0,8709087,5402284,1677603,145465722,100306670,41235251,172850926,0,46610576,90989242,0,0,0,0.6358782630343552,xS,#e41a1c,NA,NA,NA
2011,Samfylkingin,107276149,0,9634712,2350500,18872327,0,9861215,0,0,147994903,106934105,15786001,144458933,0,29669451,105636898,0,0,0,0.6045237925883775,xS,#e41a1c,NA,NA,NA
2010,Samfylkingin,117875110,0,15414459,6014000,21070440,0,13832213,0,0,174206222,174663069,-6848475,133112878,0,30330237,110076844,0,0,0,0.5812379970125898,xS,#e41a1c,NA,NA,NA
2009,Samfylkingin,115450993,0,16698901,8146584,24580481,0,5071313,0,0,169948272,190453519,-27350153,136751166,0,37119262,106866657,0,0,0,0.5515239348460061,xS,#e41a1c,55758,0.29787961513598993,20
2008,Samfylkingin,114841618,0,15277267,10005000,17070049,0,14212010,0,0,171405944,99612164,58555769,98652823,0,20306876,72408161,0,0,0,0.4924025535244328,xS,#e41a1c,NA,NA,NA
2007,Samfylkingin,128976562,0,15035480,23542500,15182921,0,9916878,0,0,192654341,277159061,-89718962,97228917,0,17934561,124355473,0,0,0,0.43700209830002135,xS,#e41a1c,48743,0.26757022325423097,18
2022,Vinstrihreyfingin - grænt framboð,91888251,11678316,3119347,3750000,10243807,0,1847501,660744,0,122527222,153946566,-31209435,38649119,4606750,33168118,9216886,9216886,0,0,0.8724304715840386,xV,#00441b,NA,NA,NA
2021,Vinstrihreyfingin - grænt framboð,124888911,12651504,1883882,8025000,12629753,0,760550,660000,100550,160839600,219383935,-58366280,62591790,4746750,56704712,3095596,3095596,-57897099,55132539,0.8054804751404794,xV,#00441b,25114,0.12573974866069193,8
2020,Vinstrihreyfingin - grænt framboð,120388912,13586445,1870022,0,8530958,0,4074829,0,0,148451166,89390630,59958090,118473684,4956750,112977230,3773390,3773390,60458700,112800807,0.7712052777580197,xV,#00441b,NA,NA,NA
2019,Vinstrihreyfingin - grænt framboð,123097777,15455420,1870022,300000,9220594,0,3871109,0,0,153814922,117157298,38354459,63752493,5166750,58427379,9309586,9309586,38767897,57932489,0.749879970125898,xV,#00441b,NA,NA,NA
2018,Vinstrihreyfingin - grænt framboð,114097777,10395180,3231973,3325000,10937807,0,4622237,660000,0,146609974,112233236,33643481,24957792,5376750,19237920,7371767,4630912,34086222,19108302,0.7279145031652322,xV,#00441b,NA,NA,NA
2017,Vinstrihreyfingin - grænt framboð,46519373,9412234,3355281,5435000,15201899,0,2091537,540000,0,82015324,64661647,-13781672,19558117,0,13971367,37514088,0,0,0,0.7089097730990824,xV,#00441b,33156,0.1689400231326971,11
2016,Vinstrihreyfingin - grænt framboð,35963593,7278816,3244131,6740000,11981020,0,4383064,620000,3724777,69590624,89716113,-19542598,17365466,0,11568716,21539765,0,0,0,0.6966400526353226,xV,#00441b,30167,0.15906837931325402,10
2015,Vinstrihreyfingin - grænt framboð,40242409,0,3457131,0,8851995,0,1816606,660000,1156606,54368141,30829542,22857725,22575660,0,16568910,7207361,0,0,0,0.6850104915001066,xV,#00441b,NA,NA,NA
2014,Vinstrihreyfingin - grænt framboð,36438916,0,3564671,1335000,10661244,0,2228991,0,0,54228822,48805903,15231669,11246690,0,5029940,16156628,0,0,0,0.6739944163880789,xV,#00441b,NA,NA,NA
2013,Vinstrihreyfingin - grænt framboð,67665318,0,3222769,2275000,10881828,0,4409522,0,0,88454437,123888705,-42732281,53165546,0,3825519,81941438,0,0,0,0.6604843872252649,xV,#00441b,20552,0.10872750935071393,7
2012,Vinstrihreyfingin - grænt framboð,74258986,0,2974924,300000,13943765,0,928388,0,0,92406063,66927872,22699598,76801929,0,24833563,64809453,0,0,0,0.6358782630343552,xV,#00441b,NA,NA,NA
2011,Vinstrihreyfingin - grænt framboð,78217588,0,3222769,1522000,15689896,0,1171157,0,0,99823410,62162941,30480069,63402817,0,9666112,74073853,0,0,0,0.6045237925883775,xV,#00441b,NA,NA,NA
2010,Vinstrihreyfingin - grænt framboð,85683152,0,4770701,1582000,28570817,0,3590677,0,0,124197347,107326779,14286727,64341009,0,8835965,103596332,0,0,0,0.5812379970125898,xV,#00441b,NA,NA,NA
2009,Vinstrihreyfingin - grænt framboð,64189089,0,5042536,1029000,27194312,0,4068414,0,0,101523351,129272934,-38631936,70179391,0,13617440,122765600,0,0,0,0.5515239348460061,xV,#00441b,40581,0.21679853405490884,14
2008,Vinstrihreyfingin - grænt framboð,65814089,0,5897394,0,12843705,0,10077492,0,0,94632680,57034802,10413006,59910844,0,8727906,78406122,0,0,0,0.4924025535244328,xV,#00441b,NA,NA,NA
2007,Vinstrihreyfingin - grænt framboð,42983200,0,7699850,16914192,9832056,0,2764075,0,0,80193373,109446302,-36237441,63943013,0,6005449,90859841,0,0,0,0.43700209830002135,xV,#00441b,26136,0.14347117237290646,9
2022,Viðreisn,64894076,10899756,3677438,2808000,10973381,0,675250,0,0,93927901,75680335,16896183,6128634,0,6128634,24209858,24209858,0,0,0.8724304715840386,xC,#ff7d14,NA,NA,NA
2021,Viðreisn,59396590,9159620,3694910,10750000,8980199,0,72471,0,0,92053790,147557917,-56035817,5194287,0,5194287,40171694,40171694,-56035817,3418165,0.8054804751404794,xC,#ff7d14,16628,0.0832523907274821,5
2020,Viðreisn,54896589,8485540,2776236,1770000,4803670,0,15000,0,0,72747035,69286445,3469652,25673730,0,25673730,4615320,4615320,3469652,25082230,0.7712052777580197,xC,#ff7d14,NA,NA,NA
2019,Viðreisn,55968664,8690136,2732654,1180000,3498747,0,564728,0,0,72634929,49098832,23824714,21753764,0,21753764,4165006,4165006,23824714,21357633,0.749879970125898,xC,#ff7d14,NA,NA,NA
2018,Viðreisn,43948785,5816351,1318026,4163534,5632007,0,225950,0,0,61104653,58677056,2308136,2275197,0,2275197,8585324,0,0,0,0.7279145031652322,xC,#ff7d14,NA,NA,NA
2017,Viðreisn,38679259,0,0,11779495,9699283,0,5383,0,0,60163420,58610210,1477145,1460132,0,1460132,10219398,0,0,0,0.7089097730990824,xC,#ff7d14,13122,0.06686062804763093,4
2016,Viðreisn,3000000,0,0,16438600,10339500,0,1161700,0,0,30939800,41136162,-10236411,632000,0,632000,10868411,0,0,0,0.6966400526353226,xC,#ff7d14,19870,0.10477305323546782,7
2022,Píratar,66818601,12820193,4012531,0,2600402,0,0,0,0,86251727,93113090,-8417261,15424498,0,15424498,33029139,33029139,-7887364,11531528,0.8724304715840386,xP,#984ea3,NA,NA,NA
2021,Píratar,75516317,12348974,2990795,0,3714545,0,1693940,0,0,96264571,118991274,-24284008,18004211,0,16754214,27188343,27188343,0,0,0.8054804751404794,xP,#984ea3,17233,0.08628147999799729,6
2020,Píratar,71016317,12096900,2770021,0,142167,0,1605940,0,0,87631345,62517589,24793609,65343293,0,65343293,3662418,3662418,0,15673895,0.7712052777580197,xP,#984ea3,NA,NA,NA
2019,Píratar,70495186,12391230,2630495,0,34600,0,397250,0,0,85948761,82237254,2559859,54891260,0,54891260,17276503,17276503,0,5333887,0.749879970125898,xP,#984ea3,NA,NA,NA
2018,Píratar,69504036,8278146,1898863,0,2111158,0,4000,0,0,81796203,92406092,-11739877,58295064,0,58295064,23038318,0,0,0,0.7279145031652322,xP,#984ea3,NA,NA,NA
2017,Píratar,66832749,0,1366000,560000,8444738,0,78483,0,0,77281970,61305796,15976174,47066161,0,47066161,1030887,0,0,0,0.7089097730990824,xP,#984ea3,18053,0.09198559046973642,6
2016,Píratar,39880973,0,1366000,448960,8343986,0,750292,0,0,50790211,43369800,7143460,36746189,0,36746189,6742988,0,0,0,0.6966400526353226,xP,#984ea3,27466,0.1448262043364549,10
2015,Píratar,18965203,0,1517000,0,1353035,0,0,0,0,21835238,13911866,8000030,10935493,0,10935493,237643,0,0,0,0.6850104915001066,xP,#984ea3,NA,NA,NA
2014,Píratar,19369341,0,969375,300000,990820,0,0,0,0,21629536,11521466,9991826,15427287,0,15427287,381738,0,0,0,0.6739944163880789,xP,#984ea3,NA,NA,NA
2013,Píratar,11128676,0,0,625000,425505,0,192817,0,0,12371998,8106229,3882768,11140381,0,11140381,7262613,0,0,0,0.6604843872252649,xP,#984ea3,9649,0.05104669802087577,3
2022,Miðflokkurinn,46606000,5138458,2354904,6749000,3162829,0,2175515,0,0,66186706,67148154,-1281156,94934383,79317184,11806219,12063171,12063171,0,0,0.8724304715840386,xM,#08306b,NA,NA,NA
2021,Miðflokkurinn,86251907,9546875,4267759,5860000,2860595,0,3478531,1100000,2378531,112265667,152872900,-40972179,101249898,81848583,14320010,17097530,17097530,-22680873,12334575,0.8054804751404794,xM,#08306b,10879,0.05446853251890051,3
2020,Miðflokkurinn,81751906,17513424,3897967,1300000,4754987,0,1660126,0,0,110878410,69335677,43678441,181060569,73963800,107096769,55936022,55936022,46303966,104783,0.7712052777580197,xM,#08306b,NA,NA,NA
2019,Miðflokkurinn,83495153,17001671,4145290,2875000,4619909,0,3214103,0,0,115351126,51250334,66794248,82297309,0,82297309,851203,851203,62177281,79443096,0.749879970125898,xM,#08306b,NA,NA,NA
2018,Miðflokkurinn,71495152,9528916,2033733,4449000,1433117,0,304096,0,0,89244014,59288691,30592272,17455557,0,17455557,2803699,0,0,0,0.7279145031652322,xM,#08306b,NA,NA,NA
2017,Miðflokkurinn,3000000,0,0,6884000,1922500,0,0,0,0,11806500,27516273,-15940414,1288079,0,1288079,17228493,0,0,0,0.7089097730990824,xM,#08306b,21337,0.10871858105870304,7
2022,Flokkur fólksins,68215066,12820188,1239597,0,0,0,0,0,0,82274851,66407139,16221934,51866992,0,49067996,2398905,2398905,0,0,0.8724304715840386,xF,#FBB829,NA,NA,NA
