land,time,name,value,value_trend
Belgía,2007-04-01,foreign_country,16.6,16.9
Belgía,2007-04-01,reporting_country,6.3,6.4
Belgía,2007-04-01,p,1.6349206349206353,1.6406412164224666
Belgía,2007-07-01,foreign_country,15.6,16.525
Belgía,2007-07-01,reporting_country,6,6.275
Belgía,2007-07-01,p,1.6,1.6329489087301587
Belgía,2007-10-01,foreign_country,15.9,16.25
Belgía,2007-10-01,reporting_country,5.8,6.125
Belgía,2007-10-01,p,1.7413793103448278,1.6542312363163658
Belgía,2008-01-01,foreign_country,15.3,15.850000000000001
Belgía,2008-01-01,reporting_country,5.6,5.925
Belgía,2008-01-01,p,1.7321428571428577,1.6771107006020802
Belgía,2008-04-01,foreign_country,13.6,15.1
Belgía,2008-04-01,reporting_country,5.1,5.625
Belgía,2008-04-01,p,1.666666666666667,1.6850472085385881
Belgía,2008-07-01,foreign_country,15.4,15.05
Belgía,2008-07-01,reporting_country,6.2,5.675
Belgía,2008-07-01,p,1.4838709677419355,1.656014950474072
Belgía,2008-10-01,foreign_country,12.7,14.25
Belgía,2008-10-01,reporting_country,5.6,5.625
Belgía,2008-10-01,p,1.2678571428571428,1.5376344086021507
Belgía,2009-01-01,foreign_country,15.9,14.4
Belgía,2009-01-01,reporting_country,6.3,5.8
Belgía,2009-01-01,p,1.5238095238095237,1.4855510752688172
Belgía,2009-04-01,foreign_country,15.1,14.775
Belgía,2009-04-01,reporting_country,6,6.025
Belgía,2009-04-01,p,1.5166666666666666,1.4480510752688172
Belgía,2009-07-01,foreign_country,17.1,15.2
Belgía,2009-07-01,reporting_country,6.5,6.1
Belgía,2009-07-01,p,1.6307692307692312,1.484775641025641
Belgía,2009-10-01,foreign_country,15.8,15.975000000000001
Belgía,2009-10-01,reporting_country,6.5,6.325
Belgía,2009-10-01,p,1.430769230769231,1.5255036630036631
Belgía,2010-01-01,foreign_country,17.9,16.475
Belgía,2010-01-01,reporting_country,6.8,6.45
Belgía,2010-01-01,p,1.6323529411764706,1.5526395173454
Belgía,2010-04-01,foreign_country,16.8,16.9
Belgía,2010-04-01,reporting_country,6.4,6.55
Belgía,2010-04-01,p,1.625,1.579722850678733
Belgía,2010-07-01,foreign_country,17.7,17.05
Belgía,2010-07-01,reporting_country,6.7,6.6
Belgía,2010-07-01,p,1.6417910447761193,1.582478304180455
Belgía,2010-10-01,foreign_country,15.3,16.925
Belgía,2010-10-01,reporting_country,6.3,6.55
Belgía,2010-10-01,p,1.4285714285714288,1.5819288536310046
Belgía,2011-01-01,foreign_country,14.5,16.075
Belgía,2011-01-01,reporting_country,5.5,6.225
Belgía,2011-01-01,p,1.6363636363636362,1.582931527427796
Belgía,2011-04-01,foreign_country,15.4,15.725
Belgía,2011-04-01,reporting_country,4.9,5.85
Belgía,2011-04-01,p,2.142857142857143,1.7123958131420818
Belgía,2011-07-01,foreign_country,15.3,15.125
Belgía,2011-07-01,reporting_country,6.2,5.725
Belgía,2011-07-01,p,1.467741935483871,1.6688835358190197
Belgía,2011-10-01,foreign_country,14.7,14.975
Belgía,2011-10-01,reporting_country,5.5,5.525
Belgía,2011-10-01,p,1.6727272727272724,1.7299224968579807
Belgía,2012-01-01,foreign_country,16.7,15.525
Belgía,2012-01-01,reporting_country,5.2,5.45
Belgía,2012-01-01,p,2.2115384615384612,1.873716203151687
Belgía,2012-04-01,foreign_country,15.5,15.55
Belgía,2012-04-01,reporting_country,5.2,5.525
Belgía,2012-04-01,p,1.9807692307692308,1.8331942251297089
Belgía,2012-07-01,foreign_country,16.4,15.825
Belgía,2012-07-01,reporting_country,5.9,5.45
Belgía,2012-07-01,p,1.7796610169491522,1.9111739954960292
Belgía,2012-10-01,foreign_country,18.1,16.675
Belgía,2012-10-01,reporting_country,6.2,5.625
Belgía,2012-10-01,p,1.9193548387096775,1.9728308869916305
Belgía,2013-01-01,foreign_country,17.9,16.975
Belgía,2013-01-01,reporting_country,6.4,5.925000000000001
Belgía,2013-01-01,p,1.7968749999999996,1.869165021607015
Belgía,2013-04-01,foreign_country,16.4,17.2
Belgía,2013-04-01,reporting_country,6.3,6.2
Belgía,2013-04-01,p,1.6031746031746028,1.774766364708358
Belgía,2013-07-01,foreign_country,16.8,17.3
Belgía,2013-07-01,reporting_country,6.8,6.425
Belgía,2013-07-01,p,1.4705882352941178,1.6974981692945994
Belgía,2013-10-01,foreign_country,17.1,17.05
Belgía,2013-10-01,reporting_country,6.8,6.575
Belgía,2013-10-01,p,1.5147058823529416,1.5963359302054154
