Dagsetning,Land,Fjöldi sem nýtur tímabundinnar verndar,Nýjar veitingar á tímabundinni vernd,Nýir umsækjendur um hæli,Umsækjendur um hæli í bið eftir niðurstöðu,Ákvarðanir teknar um hæli,Einstaklingum veitt hæli,Hlutfall jákvæðra ákvarðana
2022-03-01,Belgía,4703.274067880462,4703.274067880462,499.51769481545,5554.139910381379,328.1812524256232,143.93049821009612,0.43608296986933176
2022-04-01,Belgía,6661.418921268913,1958.1448533884513,407.24444390815546,5577.208223108204,346.32043850141616,158.81646069620876,0.45858240819812124
2022-05-01,Belgía,7953.244433971036,1291.8255127021228,450.71934097024615,5692.549786742322,352.8268856807767,158.52071309714694,0.4496181293134335
2022-06-01,Belgía,8720.709453536514,767.4650195654782,517.2625507591604,5783.93579485243,359.3333328601372,158.2249654980851,0.44065385042874583
2022-07-01,Belgía,9280.55965856058,559.8502050240656,535.007406702871,6003.084765757255,365.83978003949767,157.92921789902326,0.4316895715440582
2022-08-01,Belgía,9831.53743561279,550.9777770522103,622.8444436242378,6377.5012261695465,382.89455825206386,176.75848170596052,0.45918784675041224
2022-09-01,Belgía,10217.488052388493,390.3868307616305,708.9069949512336,6684.4872339957365,399.9493364646301,195.5877455128977,0.4866861219567665
2022-10-01,Belgía,10033.828793371089,371.75473202073454,747.0584352302112,7044.7078096530595,417.0041146771963,214.4170093198349,0.5141843971631206
2022-11-01,Belgía,10908.650191396016,340.7012341192412,595.3399169114865,7301.120978039677,406.94869630909363,197.6579787063306,0.4842269069772486
2022-12-01,Belgía,11216.523442019394,307.8732506233768,460.4790117392869,7299.346492445305,396.893277940991,180.89894809282626,0.45426941679137656
2023-01-01,Belgía,11094.083936007792,276.81975272188345,492.41975243796577,7357.904517059551,386.8378595728884,164.13991747932192,0.4243119266055046
2023-02-01,Belgía,11288.390108591422,260.849382372544,424.1020570546804,7282.48887929878,403.2025600543103,178.04005463522847,0.44026946169901127
2023-03-01,Belgía,11455.1917544623,242.21728363164803,465.8024685224001,7207.960484335196,419.56726053573215,191.94019179113502,0.45622699679251777
2023-04-01,Belgía,11608.684758375395,183.65925901740346,362.8823040488793,7111.251019441975,435.93196101715404,205.84032894704154,0.47218453188602444
2023-05-01,Belgía,11792.3440173928,209.38930013578366,479.11111048018296,7178.6814720280745,423.01764919145376,194.20759005060916,0.45824960353583066
2023-06-01,Belgía,12005.282288717324,228.9086416738652,485.32181006048154,7133.432089371612,410.10333736575325,182.5748511541767,0.44431467518563683
2023-07-01,Belgía,12187.167062140357,243.10452642883357,526.1349787310156,7244.337439019803,397.1890255400529,170.94211225774427,0.430379746835443
2023-08-01,Belgía,12433.820559757933,275.04526712751243,642.3637851623193,7541.563776076954,407.83593910627917,179.22304503147583,0.43899885718273735
2023-09-01,Belgía,12660.954715837428,253.75143999505985,572.2716041846629,7601.009043488384,418.4828526725055,187.5039778052074,0.4476179675300317
2023-10-01,Belgía,12895.186814294404,239.55555524009148,644.1382707566903,7719.899578311244,429.1297662387318,195.7849105789389,0.456237077877326
2023-11-01,Belgía,13078.846073311808,193.4189297864442,569.6098757931063,7608.1069858658675,431.3971644982058,197.06648350820691,0.45680391351930283
2023-12-01,Belgía,13238.549776805203,164.13991747932192,566.9481474015497,7993.1703598443855,433.6645627576801,198.34805643747492,0.4573707491612796
2024-01-01,Belgía,13443.50286295506,216.48724251326783,548.3160486606538,8060.600812430485,435.93196101715404,199.62962936674288,0.4579375848032564
2024-02-01,Belgía,13615.62796560905,177.4485594371048,488.8707812492237,7726.9975206887275,453.0853217627409,213.82551412171125,0.47094706300799627
2024-03-01,Belgía,13778.880640291185,175.67407384273375,484.43456726329606,7632.9497841870625,470.2386825083277,228.02139887667965,0.48395654121273596
2024-04-01,Belgía,13949.231257350808,183.65925901740346,547.4288058634683,7863.632911455298,487.39204325391444,242.21728363164803,0.49696601941747565
2024-05-01,Belgía,14117.807388816056,172.12510265399163,594.452674114301,8660.3769433279,486.30763539068766,242.6116137637305,0.4988936566020802
2024-06-01,Belgía,14271.300392729152,158.81646069620876,485.32181006048154,8644.40657297856,485.223227527461,243.00594389581295,0.5008212937866845
2024-07-01,Belgía,14514.404919157985,250.20246880631774,620.1827152326813,8726.032910319629,484.13881966423423,243.40027402789542,0.5027489309712889
2024-08-01,Belgía,14770.818087544601,259.07489677817296,589.1292173311879,8939.85842444134,NA,NA,NA
2024-09-01,Belgía,15000.613972015653,231.57037006542174,651.2362131341746,9002.85266304151,NA,NA,NA
2024-10-01,Belgía,15202.905329773952,203.178600555485,775.4502047401479,8999.30369185277,NA,NA,NA
2022-03-01,Búlgaría,35663.50380565598,35663.50380565598,1579.881601814076,10257.613635307567,535.6624712033018,491.13149468158156,0.9149950598561614
2022-04-01,Búlgaría,107350.63148796969,71623.2354116521,1765.7500255569082,11308.931907102962,631.1781889600352,580.8388241963514,0.9202453987730062
2022-05-01,Búlgaría,130520.29218516212,23175.469085434423,2137.4868730425733,12499.651496705483,556.3145182858389,505.97515352215504,0.9055604245788296
2022-06-01,Búlgaría,138593.95184149142,8067.851268087321,1057.1266600373597,11407.674507216341,481.45084761164253,431.11148284795865,0.8908754503846529
2022-07-01,Búlgaría,146133.23977956004,7545.096326310605,1312.6957426837544,9885.8767878219,406.58717693744603,356.24781217376227,0.8761904761904762
2022-08-01,Búlgaría,151354.98080908525,5221.741029525199,2218.8043084300625,8997.193386801484,367.21921218636,320.7521062506519,0.8727175881538296
2022-09-01,Búlgaría,156582.53022685242,5221.741029525199,2910.0025092237206,10919.769894891408,327.85124743527393,285.25640032754154,0.8692447001171835
2022-10-01,Búlgaría,165016.30995418344,8433.779727331023,3246.8890272576045,12458.99277901174,288.4832826841879,249.76069440443112,0.8657718120805369
2022-11-01,Búlgaría,168315.4744756187,3299.1645214352766,2375.6307909630773,13423.18522717768,461.4441770004347,384.6443769122505,0.8473650609713572
2022-12-01,Búlgaría,171213.86020835853,2898.3857327397936,1347.5460721355353,12975.93933254649,634.4050713166816,519.5280594200698,0.8289583098621773
2023-01-01,Búlgaría,174007.69495274298,2793.8347443844505,1492.7557781846233,13370.909733000011,807.3659656329285,654.4117419278894,0.8105515587529974
2023-02-01,Búlgaría,176098.71471984984,2085.2113788649017,859.6414598106,12650.669590996535,814.4651068175506,627.3059301320595,0.7708973008509079
2023-03-01,Búlgaría,178369.79452245755,2276.888190849698,1527.6061076364042,12185.998531639452,821.5642480021726,600.2001183362297,0.7312430429488185
2023-04-01,Búlgaría,180060.03550086895,1684.4325901694192,1173.29442487663,11419.29128370027,828.6633891867947,573.0943065404,0.6915887850467289
2023-05-01,Búlgaría,183132.67288086764,3078.4457682406623,1725.0913078631638,11117.255095118167,831.2448950721118,538.8893535599483,0.6485591900311526
2023-06-01,Búlgaría,186669.98132022342,3531.5000511138164,2143.295261284537,11152.105424569949,833.8264009574291,504.6844005794964,0.6055295950155763
2023-07-01,Búlgaría,189330.2231350427,2666.0502030612533,2718.325697238925,12836.538014739368,836.4079068427461,470.47944759904465,0.5625
2023-08-01,Búlgaría,191537.41066698887,2207.1875319461356,3723.176863098613,15235.402358670299,860.9322127532588,494.358377038228,0.5735815602836879
2023-09-01,Búlgaría,193459.98717507877,1922.5765080899234,3636.0510394691596,18052.470656022604,885.4565186637712,518.2373064774113,0.5846631205673759
2023-10-01,Búlgaría,195510.3482244919,2050.361049413121,3519.88327462989,18319.656515152925,909.980824574284,542.1162359165947,0.5957446808510638
2023-11-01,Búlgaría,197305.14019125863,1794.7919667667259,2718.325697238925,17001.152384227207,949.3487893253698,660.865506641182,0.6884374457400061
2023-12-01,Búlgaría,198612.02754570043,1306.8873544417909,894.4917892623812,13876.239510050837,988.716754076456,779.6147773657696,0.7811302106289484
2024-01-01,Búlgaría,200128.0168768529,1515.9893311524772,894.4917892623812,11581.926154475248,1028.084718827542,898.364048090357,0.8738229755178908
2024-02-01,Búlgaría,53106.093696272415,1771.5584137988722,662.1562595838407,9653.541258143361,958.3840599239799,813.8197303462214,0.844959997862991
2024-03-01,Búlgaría,57142.92352443705,2311.7385203014787,813.1743538748921,8311.803574249789,888.6834010204177,729.2754126020857,0.8160970202080913
2024-04-01,Búlgaría,59210.709738576064,2073.5946023809747,853.8330715686367,6429.8857838536105,818.9827421168555,644.7310948579501,0.7872340425531914
2024-05-01,Búlgaría,62626.04202485061,3415.3322862745467,917.7253422302352,4501.500887521724,NA,NA,NA
2024-06-01,Búlgaría,66622.21313532151,3996.171110470898,1237.1866955382286,4832.579017313645,NA,NA,NA
2024-07-01,Búlgaría,69956.22798620857,3334.014850887057,1916.7681198479597,5814.196630205478,NA,NA,NA
2024-08-01,Búlgaría,72610.66141278589,2654.433426577326,2317.5469085434424,7138.50914937316,NA,NA,NA
2024-09-01,Búlgaría,74719.10634461865,2108.4449318327556,1748.324860831018,7986.533832699833,NA,NA,NA
2024-10-01,Búlgaría,76699.7667351282,1980.6603905095585,NA,NA,NA,NA,NA
2022-03-01,Tékkland,87196.94414321994,87196.94414321994,60.98053919341215,175.97241310098934,21.875558504303406,4.839725332810487,0.2205128205128205
2022-04-01,Tékkland,109745.80523582395,22770.133334820097,29.619119036800186,169.00320862174226,22.649914557553085,5.226903359435328,0.23076923076923078
2022-05-01,Tékkland,122968.12843407552,13924.470549535712,29.619119036800186,158.54940190287158,24.00503765074002,5.226903359435328,0.2190635451505017
2022-06-01,Tékkland,130031.41717379245,7810.735920116191,43.5575279952944,174.2301119811776,25.36016074392696,5.226903359435328,0.2073578595317726
2022-07-01,Tékkland,135219.98990859193,5970.8659375949555,43.5575279952944,196.88002653873065,26.7152838371139,5.226903359435328,0.19565217391304346
2022-08-01,Tékkland,138845.71853892022,6138.126845096886,47.04213023491794,210.81843549722487,27.48963989036357,4.646136319498069,0.17043478260869566
2022-09-01,Tékkland,142366.9091020598,5228.645660555139,62.72284031322393,226.49914557553086,28.263995943613253,4.06536927956081,0.14521739130434783
2022-10-01,Tékkland,146274.89051379764,4974.26969706262,50.526732474541504,228.24144669534263,29.038351996862925,3.4846022396235514,0.12
2022-11-01,Tékkland,148085.14137728207,3495.056046342422,34.84602239623552,224.75684445571906,29.42553002348777,4.452547306185649,0.1505128205128205
2022-12-01,Tékkland,150684.65464804124,3930.6313262953663,31.361420156611963,221.27224221609555,29.812708050112608,5.420492372747747,0.181025641025641
2023-01-01,Tékkland,153630.88584164294,4331.360583852074,45.29982911510617,219.52994109628375,30.199886076737446,6.388437439309844,0.21153846153846154
2023-02-01,Tékkland,156054.42669930114,3413.1678937112683,24.39221567736486,210.81843549722487,27.87681791698841,6.388437439309844,0.2326923076923077
2023-03-01,Tékkland,113336.68784375601,3092.584487665902,33.10372127642374,209.07613437741313,25.553749757239377,6.388437439309844,0.25384615384615383
2023-04-01,Tékkland,115636.52532190755,2294.6105747921088,33.10372127642374,212.56073661703664,23.230681597490346,6.388437439309844,0.275
2023-05-01,Tékkland,118509.57986847719,2947.9734947215247,40.072925755670845,196.88002653873065,25.553749757239377,6.582026452622264,0.2602564102564103
2023-06-01,Tékkland,121663.14489533649,3266.81459964708,38.33062463585907,191.65312317929533,27.87681791698841,6.775615465934685,0.24551282051282053
2023-07-01,Tékkland,124590.21077662027,3097.8113910253373,38.33062463585907,224.75684445571906,30.199886076737446,6.969204479247103,0.23076923076923078
2023-08-01,Tékkland,127219.34316641625,2909.6428700856654,45.29982911510617,205.59153213778953,27.10246186373874,5.420492372747748,0.1908831908831909
2023-09-01,Tékkland,124736.56407068447,2812.0740073762063,33.10372127642374,228.24144669534263,24.00503765074003,3.871780266248391,0.150997150997151
2023-10-01,Tékkland,126998.07092420015,2841.6931264130067,59.23823807360037,224.75684445571906,20.90761343774131,2.3230681597490346,0.1111111111111111
2023-11-01,Tékkland,128698.55681713644,1963.5733620278713,29.619119036800186,191.65312317929533,20.133257384491632,2.516657173061454,0.1261574074074074
2023-12-01,Tékkland,129989.60194691698,1407.7793048079147,20.90761343774131,191.65312317929533,19.35890133124195,2.7102461863738734,0.1412037037037037
