year,country,dwellings,population,new_dwellings,new_by_pop,rolling
2004,Austria,4036730,8169441,57810,7.0763715656921935,62.5505792764091
2005,Austria,4094540,8225278,57810,7.028333875158991,63.66568263799019
2006,Austria,4152350,8267948,57810,6.992061391774598,64.75249142064828
2007,Austria,4210160,8295189,57810,6.96909979989606,65.82302719458112
2008,Austria,4267970,8321541,57810,6.947030604067203,66.8779626210023
2009,Austria,4325780,8341483,57810,6.930422324183842,67.92774173294357
2010,Austria,4383590,8361069,57810,6.914187647536457,68.9754108995738
2011,Austria,4441408,8388534,57818,6.892503505380082,70.02853501402645
2012,Austria,4474092.666666667,8426311,32684.666666666977,3.878882071486203,66.74988999577965
2013,Austria,4506777.333333333,8477230,32684.666666666046,3.8555833293028554,63.48447611447849
2014,Austria,4539462,8543932,32684.666666666977,3.825483005560786,60.23358755434708
2015,Austria,4589318,8629519,49856,5.777378785538336,58.98263246472642
2016,Austria,4642928,8739806,53610,6.134003432112795,58.124574505064615
2017,Austria,4700145,8795073,57217,6.505574200464283,57.66104890563284
2018,Austria,4756560,8837707,56415,6.383443126141204,57.09746142770685
2019,Austria,4821044,8877637,64484,7.263644593713395,57.43068369723639
2020,Austria,4875111,8916845,54067,6.063467515696415,56.57996356539635
2021,Austria,4937709,8951520,62598,6.99300230575366,56.680462365769934
2005,Belgium,4858339,10445852,38727,3.7074046233854356,41.589854389159235
2006,Belgium,4902629,10511382,44290,4.213527773988234,40.86992063251636
2007,Belgium,4948491,10584534,45862,4.332925757525083,40.279386965627374
2008,Belgium,4994087,10665140,45596,4.275236893280351,39.64112606620269
2009,Belgium,5041026,10753080,46939,4.365167933280512,39.77446009690014
2010,Belgium,5085306,10839905,44280,4.08490664816712,39.637334401142454
2011,Belgium,5129393,10951266,44087,4.025744603409323,39.45080292045997
2012,Belgium,5177640,11035948,48247,4.371803854095725,40.66646051459241
2013,Belgium,5227360,11099554,49720,4.479459264759647,41.46818960110681
2014,Belgium,5272880,11150516,45520,4.082322288941606,41.93849964083304
2015,Belgium,5314909,11209044,42029,3.749561514791092,41.98065653223869
2016,Belgium,5356734,11267910,41825,3.7118684831525988,41.47899724140305
2017,Belgium,5404921,11322088,48187,4.256017088014154,41.40208857189213
2018,Belgium,5455466,11376070,50545,4.443098539302237,41.56995021791401
2019,Belgium,5514939,11431406,59473,5.202597125847862,42.40737941048136
2020,Belgium,5576120,11492641,61181,5.323493529468118,43.64596629178236
2021,Belgium,5631637,11521238,55517,4.818666188477315,44.43888787685035
2000,Canada,12204080,30685730,145497,4.741519918216056,60.937427014881905
2001,Canada,12345151,31020902,141071,4.547611155858718,55.23737629600321
2002,Canada,12521725,31360079,176574,5.630534285324983,53.290419497392
2003,Canada,12713298,31644028,191573,6.054001721904682,52.10681591775054
2004,Canada,12927076,31940655,213778,6.692974830979515,52.79937620648321
2005,Canada,13142172,32243753,215096,6.670935607278719,52.748930691296884
2006,Canada,13351153,32571174,208981,6.416133480481851,53.56882033460064
2007,Canada,13556616,32889025,205463,6.247159956854908,55.57458322890464
2008,Canada,13762862,33247118,206246,6.2034249103937364,57.45934613062743
2009,Canada,13935947,33628895,173085,5.146913093635696,58.35120896092887
2010,Canada,14112011,34004889,176064,5.177608431540535,58.78729747425334
2011,Canada,14278617,34339328,166606,4.851754815935827,59.09144113433045
2012,Canada,14447488,34714222,168871,4.864605636272073,58.32551248527754
2013,Canada,14621584,35082954,174096,4.9624099498577,57.23392071323056
2014,Canada,14790816,35437435,169232,4.775514932161427,55.31646081441247
2015,Canada,14970958,35702908,180142,5.0455834017778045,53.69110860891156
2016,Canada,15412443,36109487,441485,12.226288343559132,59.50126347198884
2017,Canada,15586801.4,36545236,174358.40000000037,4.771029526256182,58.02513304139012
2018,Canada,15761159.8,37065084,174358.40000000037,4.704114524602194,56.52582265559858
2019,Canada,15935518.2,37601230,174358.3999999985,4.6370397989639836,56.01594936092686
2020,Canada,16109876.6,38037204,174358.40000000037,4.583891076746871,55.4222320061332
2021,Canada,16284235,38246108,174358.40000000037,4.5588534132675775,55.12933060346494
2002,Chile,4399952,15116435,103010.29999999981,6.814457244714101,72.02110288333402
2003,Chile,4539926.8,15280272.866666667,139974.7999999998,9.160490864358156,73.56542049414786
2004,Chile,4679901.6,15444110.733333332,139974.7999999998,9.063312379513663,75.11083465731397
2005,Chile,4819876.4,15607948.6,139974.80000000075,8.968174075099194,76.65688168452886
2006,Chile,4959851.2,15771786.466666667,139974.7999999998,8.875012370718661,78.20312879442425
2007,Chile,5099826,15935624.333333334,139974.7999999998,8.783766300715788,79.7491720322002
2008,Chile,5239800.8,16099462.2,139974.7999999998,8.694377381127664,81.29463434425969
2009,Chile,5379775.6,16263300.066666666,139974.7999999998,8.606789484681082,82.8391637949389
2010,Chile,5519750.4,16427137.933333334,139974.80000000075,8.52094872326902,84.38243191362024
2011,Chile,5659725.2,16590975.8,139974.7999999998,8.436803337390186,85.92413216158751
2012,Chile,5799700,16754813.666666666,139974.7999999998,8.354303592076146,87.46397850894957
2013,Chile,5939674.8,16918651.53333333,139974.7999999998,8.273401678864285,86.5768893234557
2014,Chile,6079649.6,17082489.4,139974.7999999998,8.194051623412676,85.70762856735472
2015,Chile,6219624.4,17246327.266666666,139974.80000000075,8.11620919838052,84.85566369063604
2016,Chile,6359599.2,17410165.133333333,139974.7999999998,8.039831841227366,84.02048316114474
2017,Chile,6499574,17574003,139974.7999999998,7.964878576611135,83.2015954370401
2020,Denmark,3113345,5822763,30734,5.278250205271965,30.786953032842597
2021,Denmark,3148251.3333333335,5840045,34906.33333333349,5.977065815988317,34.36662776278811
1971,UK,35324000,102340000,487000,4.758647645104554,48.88303085204661
1972,UK,35738500,102549580,414500,4.041947319530709,47.90281175729994
1973,UK,36153000,102716660,414500,4.035372645489057,46.94673030517252
1974,UK,36567500,102770240,414500,4.033268775085084,46.01888394920007
1975,UK,36982000,102801220,414500,4.032053316098778,45.119794517438436
1976,UK,37396500,102832500,414500,4.030826830039141,44.249091003650676
1977,UK,37811000,102847180,414500,4.030251485748077,43.40707101694921
1978,UK,38225500,102876160,414500,4.029116172298811,42.592827349015174
1979,UK,38640000,102979140,414500,4.025087022478533,41.803125069313296
1980,UK,39054500,103109620,414500,4.019993478785006,41.03656469065775
1981,UK,39469000,103178300,414500,4.017317594881869,40.295234640435055
1982,UK,39893000,103068000,424000,4.1137889548647495,40.36707627576911
1983,UK,40246000,103129400,353000,3.4228842599685443,39.75458789024859
1984,UK,40615000,103321700,369000,3.571369809052696,39.29268892421621
1985,UK,40979000,103611400,364000,3.513126933908817,38.77376254202624
1986,UK,41361000,103871400,382000,3.677624447152922,38.42056015914003
1987,UK,41883000,104104400,522000,5.01419728657002,39.404505959961966
1988,UK,42330000,104328700,447000,4.284535319619625,39.65992510728279
1989,UK,42742000,104629200,412000,3.9377152840698395,39.57255336887409
1990,UK,43146000,104936600,404000,3.8499436802793303,39.40250357036842
1991,UK,43223000,105313700,77000,0.7311489388370174,36.11633491432356
1992,UK,43606000,105582500,383000,3.62749508678048,35.63004104623929
1993,UK,43943000,105816200,337000,3.184767549770262,35.39192433604101
1994,UK,44285000,106090900,342000,3.223650661838103,35.04420518882641
1995,UK,44641000,106408300,356000,3.3456036794122266,34.876681934329824
1996,UK,45007000,106683500,366000,3.4307085913004354,34.62976607847734
1997,UK,45353000,106979000,346000,3.2342796249731256,32.84984841688045
1998,UK,45700000,107295500,347000,3.234059210311709,31.79937230757253
1999,UK,46032000,107717300,332000,3.082141865791289,30.94379888929398
2000,UK,46394000,108119400,362000,3.3481502857026584,30.442005494717307
2001,UK,46675000,108562700,281000,2.5883659857391166,32.29922254161941
2002,UK,46989516,109045000,314516,2.8842771332935944,31.55600458813252
2003,UK,47348391,109562200,358875,3.2755366358105262,31.646773674172785
2004,UK,47726360,110145000,377969,3.4315584002905264,31.854681412625208
2005,UK,48143913,111019300,417553,3.7610847843573145,32.27016251757029
2006,UK,48588566,111792300,444653,3.9774921886391104,32.81694611490897
2007,UK,49059502,112700200,470936,4.178661617281957,33.76132810721781
2008,UK,49558036,113639700,498534,4.386970398549098,34.91423929545519
2009,UK,49959802,114456900,401766,3.5101946671629234,35.342292096826824
2010,UK,50286672,115402000,326870,2.832446578048907,34.826588389173075
2011,UK,50590066,116392300,303394,2.606650096269255,34.844872499703214
2012,UK,50877962,117198700,287896,2.4564777595655927,34.417073125975215
2013,UK,51149684,117971500,271722,2.303285115472805,33.44482160563749
2014,UK,51445289,118913400,295605,2.485884685830192,32.49914789117715
2015,UK,51811982,119896300,366693,3.058417982873533,31.796481089693376
2016,UK,52222627,120916200,410645,3.396112348882945,31.21510124993721
2017,UK,52686972,121659600,464345,3.8167559321253726,30.853195564780624
2018,UK,53165253,122412800,478281,3.9071159225179066,30.37334108874943
2019,UK,53685130,123083800,519877,4.223764622151737,31.086911043738244
2020,UK,54204832,123631100,519702,4.203651023083998,32.45811548877334
1970,Finland,1463221,4598336,25202.100000000093,5.48069997494748,55.64036742873637
1971,Finland,1500704.7,4617280.2,37483.69999999995,8.118134134462958,58.10962199010066
1972,Finland,1538188.4,4636224.4,37483.69999999995,8.084962410361317,60.5648994185309
1973,Finland,1575672.1,4655168.6,37483.700000000186,8.052060670799376,63.00633969591695
1974,Finland,1613155.8,4674112.8,37483.69999999995,8.019425633031355,65.43408083768401
1975,Finland,1650639.5,4693057,37483.69999999995,7.98705406731688,67.84825892808746
1976,Finland,1688123.2,4712001.2,37483.69999999995,7.954942795854965,70.24900815473947
1977,Finland,1725606.9,4730945.4,37483.69999999995,7.92308869174435,72.63646084238624
1978,Finland,1763090.6,4749889.6,37483.700000000186,7.891488677968471,75.01074748595525
1979,Finland,1800574.3,4768833.8,37483.69999999995,7.8601397264043795,77.37199678289153
1980,Finland,1838058,4787778,37483.69999999995,7.829038856855926,79.72033566479999
1981,Finland,1875207.8,4812150,37149.80000000005,7.720000415614652,79.32220194595166
1982,Finland,1912357.6,4841715,37149.80000000005,7.672859720161151,78.9100992557515
1983,Finland,1949507.4,4869858,37149.799999999814,7.628518121062219,78.48655670601434
1984,Finland,1986657.2,4893748,37149.80000000005,7.591277687367647,78.05840876035063
1985,Finland,2023807,4910664,37149.80000000005,7.565127648725315,77.63648234175906
1986,Finland,2060956.8,4925644,37149.80000000005,7.542120380604048,77.22365992650815
1987,Finland,2098106.6,4938602,37149.80000000005,7.522331218429841,76.82290245319366
1988,Finland,2135256.4,4954359,37149.799999999814,7.498406958397608,76.42982073362278
1989,Finland,2172406.2,4974383,37149.80000000028,7.468222692140971,76.03790369935938
1990,Finland,2209556,4998478,37149.799999999814,7.432222368488931,75.64108721099238
1991,Finland,2249700,5029002,40144,7.9824983167634445,75.90358511214117
1992,Finland,2297400,5054982,47700,9.436235381253583,77.6669607732336
1993,Finland,2331400,5077912,34000,6.695665462497184,76.73410811466859
1994,Finland,2352200,5098754,20800,4.079428032809584,73.22225846011051
1995,Finland,2374000,5116826,21800,4.260453648414075,69.91758445979926
1996,Finland,2390800,5132320,16800,3.2733734451476137,65.64883752434284
1997,Finland,2416400,5147349,25600,4.973433897720943,63.099940203633935
1998,Finland,2449115,5159646,32715,6.340551270377852,61.94208451561418
1999,Finland,2478351,5171302,29236,5.65350853614815,60.12737035962136
2000,Finland,2512442,5181115,34091,6.579857810529201,59.27500580166163
2001,Finland,2544016,5194901,31574,6.077882908644457,57.370390393542635
2002,Finland,2574400,5206295,30384,5.836011981649138,53.77016699393819
2003,Finland,2603900,5219732,29500,5.651631156542137,52.726132687983146
2004,Finland,2635000,5236611,31100,5.938955557325148,54.58566021249871
2005,Finland,2667000,5255580,32000,6.088766606159549,56.41397317024419
2006,Finland,2700000,5276955,33000,6.253606483284394,59.39420620838097
2007,Finland,2732000,5300484,32000,6.037184528809067,60.4579568394691
2008,Finland,2768000,5326314,36000,6.758895551407597,60.87630112049884
2009,Finland,2784000,5351427,16000,2.9898567241971157,58.2126493085478
2010,Finland,2807505,5375276,23505,4.37279871768445,56.00559021570305
2011,Finland,2836000,5401267,28495,5.275614036484403,55.203321343543
2012,Finland,2866000,5426674,30000,5.528248057650045,54.89555741954391
2013,Finland,2905731,5451270,39731,7.288393346871462,56.53231960987324
2014,Finland,2918000,5471753,12269,2.2422430252242744,52.83560707777236
2015,Finland,2934440,5487308,16440,2.996004598247447,49.74284506986025
2016,Finland,2968200,5503297,33760,6.134504461598202,49.62374304817407
2017,Finland,3002665,5513130,34465,6.251439744754794,49.83799826411979
2018,Finland,3042369,5517919,39704,7.195466261828055,50.27456897454025
2019,Finland,3075628,5525292,33259,6.01941037686334,53.30412262720647
2020,Finland,3124286,5533793,48658,8.792884012828091,57.72420792235011
2021,Finland,3157671,5548241,33385,6.017222395350166,58.46581628121588
1978,France,22181327.42857143,53338762.28571428,367668.1428571418,6.893076012669576,75.64109427436843
1979,France,22548995.57142857,53587821.71428572,367668.1428571418,6.8610391520938965,74.47341454599264
1980,France,22916663.714285713,53836881.14285714,367668.1428571418,6.829298708473244,73.33935421916462
1981,France,23284331.85714286,54085940.571428575,367668.1428571455,6.797850586911487,72.2381500518685
1982,France,23652000,54335000,367668.1428571418,6.766690767592562,71.16906014854143
1983,France,24003000,54649984,351000,6.422691724850276,69.81823964791259
1984,France,24368000,54894854,365000,6.649074975224454,68.75508899068394
1985,France,24713000,55157303,345000,6.254838094603719,67.35802923464621
1986,France,25038000,55411238,325000,5.865236217967193,66.26520970232441
1987,France,25361000,55681780,323000,5.800820304235963,65.14061654462238
1988,France,25660000,55966142,299000,5.3425158375219075,63.5900563694747
1989,France,25930000,56269810,270000,4.798310141797173,61.52732735917798
1990,France,26197000,56577000,267000,4.7192321968291004,59.41726084753384
1991,France,26499000,56840661,302000,5.313097959926962,57.93250822054932
1992,France,26773000,57110533,274000,4.797713934835803,55.96353138779255
1993,France,27044000,57369161,271000,4.723792282756235,54.26463194569852
1994,France,27310000,57565008,266000,4.620862729663827,52.236419700137894
1995,France,27593000,57752535,283000,4.90021779996324,50.881799405497404
1996,France,27869000,57935959,276000,4.763880753229613,49.780443940759824
1997,France,28135000,58116018,266000,4.577051373340823,48.55667500986469
1998,France,28400000,58298962,265000,4.545535476257708,47.75969464860049
1999,France,28657000,58496613,257000,4.393416760727668,47.35480126753098
2000,France,28988000,58858198,331000,5.623685590918023,48.259254661619906
2001,France,29329000,59266572,341000,5.753664983356891,48.699821685049834
2002,France,29660000,59685899,331000,5.5456984906937565,49.44780624090779
2003,France,29994000,60101841,334000,5.5572340953748816,50.28124805352643
2004,France,30339000,60505421,345000,5.701968423622736,51.362353747485344
2005,France,30687000,60963264,348000,5.708355773076717,52.17049172059882
2006,France,31060000,61399733,373000,6.074944983881282,53.481555951250485
2007,France,31449000,61795238,389000,6.294983441928001,55.199488019837666
2008,France,31819000,62134866,370000,5.9547887332693366,56.608741276849294
2009,France,32174000,62465709,355000,5.683118076831562,57.89844259295319
2010,France,32520000,62765235,346000,5.5126058239087286,57.787362825943895
2011,France,32860000,63070344,340000,5.390806176671559,57.42450401925856
2012,France,33212000,63375971,352000,5.554155533175185,57.43296106173999
2013,France,33575000,63697865,363000,5.69877813016182,57.57450509652692
2014,France,33943000,64027958,368000,5.747489245245022,57.62002591814921
2015,France,34307000,64300821,364000,5.660891950353169,57.57256209542566
2016,France,34646000,64468792,339000,5.258358183599904,56.75597529514428
2017,France,34981000,64639133,335000,5.182619018110902,55.64361087132718
2018,France,35310000,64844037,329000,5.073712483385327,54.76253462144317
2019,France,35631000,65096768,321000,4.93112038987865,54.01053693449026
2020,France,35946000,65284389,315000,4.825043242726833,53.32297435330837
2021,France,36231000,65447454,285000,4.354638455454661,52.28680663209147
2022,France,36537000,65627454,306000,4.66268278516488,51.395333884081175
1971,Germany,27241707.375,78051410.5,377675.375,4.838802688902079,64.51414219130118
1972,Germany,27619382.75,78033339,377675.375,4.8399232922738324,62.5504536121539
1973,Germany,27997058.125,78015267.5,377675.375,4.841044414799962,60.63245608372512
1974,Germany,28374733.5,77997196,377675.375,4.842166056841325,58.75956997781867
1975,Germany,28752408.875,77979124.5,377675.375,4.8432882187591115,56.93122692065728
1976,Germany,29130084.25,77961053,377675.375,4.844410900914845,55.14686950366899
1977,Germany,29507759.625,77942981.5,377675.375,4.845534103670386,53.405951003504505
1978,Germany,29885435,77924910,377675.375,4.846657827387931,51.70793511093502
1979,Germany,30263110.375,77906838.5,377675.375,4.847782072430009,50.052295668293446
1980,Germany,30640785.75,77888767,377675.375,4.84890683915949,48.43851641513897
1981,Germany,31018461.125,77870695.5,377675.375,4.850032127939579,48.44974585417647
1982,Germany,31396136.5,77852624,377675.375,4.8511579391338175,48.46098050103645
1983,Germany,31773811.875,77834552.5,377675.375,4.852284273106086,48.47222035934258
1984,Germany,32151487.25,77816481,377675.375,4.853411130220602,48.48346543272186
1985,Germany,32529162.625,77798409.5,377675.375,4.8545385108419215,48.494715724804664
1986,Germany,32906838,77780338,377675.375,4.85566641533494,48.505971239224756
1987,Germany,33147321,77899502,240483,3.0870929059341097,46.747530041488474
1988,Germany,33377087,78389735,229766,2.9310725441283862,44.83194475822893
1989,Germany,33600808,79112831,223721,2.8278725103390627,42.812035196137984
1990,Germany,33856321,79753227,255513,3.203795126684968,41.16692348366347
1991,Germany,34173581,80274564,317260,3.9521859003805986,40.269077256104495
1992,Germany,34547348,80974632,373767,4.615853024191576,40.03377234116225
1993,Germany,34988753,81338093,441405,5.426793077137916,40.608281145194084
1994,Germany,35370790,81538603,382037,4.685351305319763,40.44022132029324
1995,Germany,35954317,81817499,583527,7.132056187637806,42.71773899708912
1996,Germany,36492323,82012162,538006,6.560075809243999,44.42214839099818
1997,Germany,37050369,82057379,558046,6.800680289825001,48.13573577488908
1998,Germany,37529144,82037011,478775,5.836085373710166,51.04074860447086
1999,Germany,37984298,82163475,455154,5.5396147740830095,53.75249086821481
2000,Germany,38383645,82259540,399347,4.854719586323969,55.40341532785379
2001,Germany,38681801,82440309,298156,3.6166288508210225,55.06785827829422
2002,Germany,38924836,82536680,243035,2.9445696143823574,53.39657486848501
2003,Germany,39141543,82531671,216707,2.6257435160860854,50.59552530743318
2004,Germany,39362266,82500849,220723,2.675402770703608,48.58557677281702
2005,Germany,39551203,82437995,188937,2.2918679669489777,43.74538855212819
2006,Germany,39753733,82314906,202530,2.460429220437912,39.6457419633221
2007,Germany,39918193,82217837,164460,2.000295872536759,34.84535754603387
2008,Germany,40057282,82002356,139089,1.6961585835411852,30.70543075586489
2009,Germany,40183563,81802257,126281,1.5437349118619061,26.709550893643783
2010,Germany,40479270,81751602,295707,3.6171401265017415,25.47197143382155
2011,Germany,40630302,80327900,151032,1.8801935566596415,23.735536139660177
2012,Germany,40805805,80523746,175503,2.1795185733162485,22.970485098594065
2013,Germany,40995141,80767463,189336,2.344211306971472,22.688952889479452
2014,Germany,41221210,81197537,226069,2.7841854365607173,22.79773555533656
2015,Germany,41446269,82175684,225059,2.738754203737446,23.244621792125027
2016,Germany,41703347,82521653,257078,3.115279331595551,23.89947190328267
2017,Germany,41968066,82792351,264719,3.1973847439119107,25.09656077465782
2018,Germany,42235402,83019213,267336,3.2201702514332435,26.62057244254988
2019,Germany,42512771,83166711,277369,3.335096418565837,28.41193394925381
2020,Germany,42803737,83155031,290966,3.4990787268181043,28.29387254957017
2021,Germany,43084056,83237124,280319,3.3677160686138077,29.781395061524336
2001,Ireland,1426535.5,3868683.6666666665,33517.5,8.663799599019512,71.97385608082664
2002,Ireland,1460053,3917203,33517.5,8.556487881787081,74.96323888150997
2003,Ireland,1537443,3997864.25,77390,19.357835874492235,88.78530900012498
2004,Ireland,1614833,4078525.5,77390,18.97499476220021,102.25552646517151
2005,Ireland,1692223,4159186.75,77390,18.607002919501028,115.38839553924645
2006,Ireland,1769613,4239848,77390,18.253012843856666,128.1975787121658
2007,Ireland,1814659.4,4309528.8,45046.39999999991,10.45274369671225,129.52893716117035
2008,Ireland,1859705.8,4379209.6,45046.40000000014,10.286422463085607,130.81284319025966
2009,Ireland,1904752.2,4448890.4,45046.39999999991,10.125311246148007,132.05144850305498
2010,Ireland,1949798.6,4518571.2,45046.40000000014,9.969169015196693,133.24678030199928
2011,Ireland,1994845,4588252,45046.39999999991,9.817769381455053,134.40075008443483
2012,Ireland,1996605,4622974.6,1760,0.3807072615108031,126.22496946415856
2013,Ireland,1998365,4657697.2,1760,0.3778691324116132,107.24500272207793
2014,Ireland,2000125,4692419.8,1760,0.3750730060426392,88.64508096592037
2015,Ireland,2001885,4727142.4,1760,0.37231795682736357,70.4103960032467
2016,Ireland,2003645,4761865,1760,0.36960308618576965,52.52698624557579
2017,Ireland,2023802.5,4822143.5,20157.5,4.180194969311884,46.25443751817543
2018,Ireland,2043960,4882422,20157.5,4.1285861812026905,40.096601236292514
2019,Ireland,2064117.5,4942700.5,20157.5,4.078236178785262,34.04952616892977
2020,Ireland,2084275,5002979,20157.5,4.029099462540218,28.10945661627329
2021,Ireland,2104432.5,5063257.5,20157.5,3.9811326996503733,22.272819934468615
2022,Ireland,2124590,5123536,20157.5,3.9342945965442615,25.826407269502077
1971,Italy,17433972,54136547,322030.5,5.948486149292086,61.296726817549136
1972,Italy,17884297.1,54378583.4,450325.1000000015,8.281295168862409,63.26058517459039
1973,Italy,18334622.2,54620619.8,450325.09999999776,8.244598864841109,65.23098641508767
1974,Italy,18784947.3,54862656.2,450325.1000000015,8.208226345409821,67.2076664529915
1975,Italy,19235272.4,55104692.6,450325.09999999776,8.172173344090076,69.19036884366838
1976,Italy,19685597.5,55346729,450325.1000000015,8.136435669034777,71.17884453908114
1977,Italy,20135922.6,55588765.4,450325.1000000015,8.101009201402439,73.17285165198427
1978,Italy,20586247.7,55830801.8,450325.09999999776,8.065889893775408,75.17215522875611
1979,Italy,21036572.8,56072838.2,450325.1000000015,8.031073768618358,77.17652703050477
1980,Italy,21486897.9,56314874.6,450325.09999999776,7.996556916775905,79.18574532210238
1981,Italy,21937223,56556911,450325.1000000015,7.962335496010407,81.19959466882071
1982,Italy,22246352.9,56579023,309129.8999999985,5.46368395226617,78.38198345222446
1983,Italy,22555482.8,56601135,309129.90000000224,5.461549490129522,75.59893407751288
1984,Italy,22864612.7,56623247,309129.8999999985,5.459416695054569,72.85012442715764
1985,Italy,23173742.6,56645359,309129.90000000224,5.457285565089317,70.13523664815688
1986,Italy,23482872.5,56667471,309129.8999999985,5.455156098284297,67.4539570774064
1987,Italy,23792002.4,56689583,309129.8999999985,5.453028292693537,64.80597616869748
1988,Italy,24101132.3,56711695,309129.90000000224,5.450902146373905,62.19098842129599
1989,Italy,24410262.2,56733807,309129.8999999985,5.448777657385103,59.60869231006273
1990,Italy,24719392.1,56755919,309129.90000000224,5.446654823790312,57.05879021707714
1991,Italy,25028522,56778031,309129.8999999985,5.444533643655211,54.54098836472195
1992,Italy,25254869.1,56799802.3,226347.1000000015,3.9849980252484345,53.06230243770421
1993,Italy,25481216.2,56821573.6,226347.09999999776,3.9834711652547012,51.58422411282939
1994,Italy,25707563.3,56843344.9,226347.1000000015,3.981945474851912,50.10675289262673
1995,Italy,25933910.4,56865116.2,226347.09999999776,3.98042095269644,48.62988828023386
1996,Italy,26160257.5,56886887.5,226347.1000000015,3.9788975974472414,47.1536297793968
1997,Italy,26386604.6,56908658.8,226347.1000000015,3.9773754077648635,45.677976894468124
1998,Italy,26612951.7,56930430.1,226347.09999999776,3.975854382312101,44.20292913040632
1999,Italy,26839298.8,56952201.4,226347.1000000015,3.9743345197539894,42.728485992775205
2000,Italy,27065645.9,56973972.7,226347.09999999776,3.9728158187571454,41.25464698774204
2001,Italy,27291993,56995744,226347.1000000015,3.9712982779907473,39.78141162207758
2002,Italy,27676324,56993270,384331,6.743445322579315,42.53985891940845
2003,Italy,28122168,57186378,445844,7.796332196454198,46.35271995060795
2004,Italy,28598037,57611990,475869,8.259895205841701,50.63066968159774
2005,Italy,28982907,58044368,384870,6.630617461456381,53.280866190357685
2006,Italy,29343196,58288996,360289,6.181080902474285,55.483049495384726
2007,Italy,29811817,58510725,468621,8.009147040991204,59.51482112861107
2008,Italy,30257478,59001769,445661,7.553349798715357,63.09231654501433
2009,Italy,30611065,59420592,353587,5.9505802298300905,65.06856225509043
2010,Italy,30973389,59690316,362324,6.070063358351127,67.1658097946844
2011,Italy,31208161,59948497,234772,3.916228291761844,67.1107398084555
2012,Italy,31412051,60105185,203890,3.392219822632607,63.7595143085088
2013,Italy,31595627,60277309,183576,3.0455241457444626,59.00870625779906
2014,Italy,31765687,60345917,170060,2.8180862675431713,53.566897319500534
2015,Italy,31933971,60295497,168284,2.7909878576836342,49.727267715727784
2016,Italy,32101053,60163712,167082,2.777122528609937,46.323309341863435
2017,Italy,32268314,60066734,167261,2.7845862237157757,41.098748524588004
2018,Italy,32438520,59937769,170206,2.8397119685919576,36.38511069446461
1973,Japan,31058900,108255300,1093540,10.101491566694655,98.4542068789979
1974,Japan,31937220,109603920,878320,8.013581995972407,96.96312639163332
1975,Japan,32815540,110952540,878320,7.916177493548141,95.50085040907807
1976,Japan,33693860,112301160,878320,7.821112444430673,94.06641053995993
1977,Japan,34572180,113649780,878320,7.728303565567835,92.65888347195838
1978,Japan,35450500,114998400,878320,7.637671480646687,91.27738832183847
1979,Japan,36081760,115859880,631260,5.448477937315316,85.95232153102238
1980,Japan,36713020,116721360,631260,5.408264605552917,80.76330099678832
1981,Japan,37344280,117582840,631260,5.368640526117586,75.7052414513376
1982,Japan,37975540,118444320,631260,5.329592841598483,70.7733144574447
1983,Japan,38606800,119305800,631260,5.2911090659465,65.96293195669655
1984,Japan,39286900,119976440,680100,5.66861293767343,63.61796289839757
1985,Japan,39967000,120647080,680100,5.637102862332018,61.338888267181446
1986,Japan,40647100,121317720,680100,5.6059411601207145,59.12371698287149
1987,Japan,41327200,121988360,680100,5.575122085418641,56.97053550272229
1988,Japan,42007300,122659000,680100,5.544640018262011,54.87750404033761
1989,Japan,42781600,123048520,774300,6.292639683923057,55.72166578694535
1990,Japan,43555900,123438040,774300,6.272782685143089,56.586183866535535
1991,Japan,44330200,123827560,774300,6.25305061328835,57.4705939537063
1992,Japan,45104500,124217080,774300,6.233442293121042,58.37444340522886
